TF_ChIP_seq	mean_skew_pred_bin	count	proportion
TRUE	(-Inf, -1.5)	10842	0.08048340521560972
TRUE	[-1.5, -1.0)	34272	0.08796985533435321
TRUE	[-1.0, -0.5)	161022	0.08560387408274159
TRUE	[-0.5, -0.2)	641770	0.07012415221258161
TRUE	[-0.2, -0.05)	3016096	0.049393417858568385
TRUE	[-0.05, 0.05)	11510504	0.031314508531684604
TRUE	[0.05, 0.2)	2740017	0.04332544783450794
TRUE	[0.2, 0.5)	509778	0.06021873882957976
TRUE	[0.5, 1.0)	114055	0.06958969202496211
TRUE	[1.0, 1.5)	20283	0.07584840042630368
TRUE	[1.5, Inf)	5538	0.07434754591343572
FALSE	(-Inf, -1.5)	123869	0.9195165947843903
FALSE	[-1.5, -1.0)	355316	0.9120301446656468
FALSE	[-1.0, -0.5)	1719991	0.9143961259172584
FALSE	[-0.5, -0.2)	8510141	0.9298758477874184
FALSE	[-0.2, -0.05)	58046615	0.9506065821414316
FALSE	[-0.05, 0.05)	356066844	0.9686854914683154
FALSE	[0.05, 0.2)	60502653	0.956674552165492
FALSE	[0.2, 0.5)	7955660	0.9397812611704203
FALSE	[0.5, 1.0)	1524909	0.9304103079750379
FALSE	[1.0, 1.5)	247132	0.9241515995736963
FALSE	[1.5, Inf)	68950	0.9256524540865643
