ENCODE_cCREs	emVar_category	phyloP	count	count_prop	base
PLS	K562	cons	12905	0.0011672040357673646	11056336
PLS	K562	noncons	35899	7.139392168351095e-5	502829921
PLS	HepG2	cons	1673	1.5131595132419998e-4	11056336
PLS	HepG2	noncons	3637	7.233062011836801e-6	502829921
PLS	SKNSH	cons	6574	5.94591191874053e-4	11056336
PLS	SKNSH	noncons	19897	3.957003982664747e-5	502829921
PLS	K562+HepG2	cons	3160	2.85808969626104e-4	11056336
PLS	K562+HepG2	noncons	5629.000000000001	1.1194640105754568e-5	502829921
PLS	K562+SKNSH	cons	4739	4.28623008562692e-4	11056336
PLS	K562+SKNSH	noncons	10510.999999999998	2.0903688426289966e-5	502829921
PLS	SKNSH+HepG2	cons	3572	3.2307267072925424e-4	11056336
PLS	SKNSH+HepG2	noncons	7783.000000000001	1.547839473140661e-5	502829921
PLS	K562+SKNSH+HepG2	cons	15965	0.0014439684177470727	11056336
PLS	K562+SKNSH+HepG2	noncons	30744	6.11419462446826e-5	502829921
pELS	K562	cons	15417.999999999998	0.0013944945233212882	11056336
pELS	K562	noncons	129683	2.5790629114133404e-4	502829921
pELS	HepG2	cons	2964	2.680815778391684e-4	11056336
pELS	HepG2	noncons	25236	5.018794416571722e-5	502829921
pELS	SKNSH	cons	6946	6.282370579186451e-4	11056336
pELS	SKNSH	noncons	61649	1.2260408027707644e-4	502829921
pELS	K562+HepG2	cons	3284.9999999999995	2.971147041840986e-4	11056336
pELS	K562+HepG2	noncons	21043	4.1849140477064014e-5	502829921
pELS	K562+SKNSH	cons	3350.0000000000005	3.0299368615425585e-4	11056336
pELS	K562+SKNSH	noncons	23290	4.63178482968598e-5	502829921
pELS	SKNSH+HepG2	cons	4647	4.20301987928008e-4	11056336
pELS	SKNSH+HepG2	noncons	40056	7.966113058733432e-5	502829921
pELS	K562+SKNSH+HepG2	cons	13764	0.0012448970436499036	11056336
pELS	K562+SKNSH+HepG2	noncons	99355	1.975916624102407e-4	502829921
dELS	K562	cons	47356	0.004283154925827146	11056336
dELS	K562	noncons	758622	0.0015087049682550612	502829921
dELS	HepG2	cons	15921	0.0014399887991826588	11056336
dELS	HepG2	noncons	202479	4.026789010433609e-4	502829921
dELS	SKNSH	cons	26803	0.0024242208268634383	11056336
dELS	SKNSH	noncons	427416	8.500210153564032e-4	502829921
dELS	K562+HepG2	cons	10870	9.83146677163212e-4	11056336
dELS	K562+HepG2	noncons	129605	2.5775116910753605e-4	502829921
dELS	K562+SKNSH	cons	7758	7.01679109607378e-4	11056336
dELS	K562+SKNSH	noncons	135670	2.698129016073409e-4	502829921
dELS	SKNSH+HepG2	cons	17604	0.0015922092092714982	11056336
dELS	SKNSH+HepG2	noncons	278803	5.54467799858712e-4	502829921
dELS	K562+SKNSH+HepG2	cons	33850	0.003061592918304943	11056336
dELS	K562+SKNSH+HepG2	noncons	572458	0.001138472425947779	502829921
non-cCRE	K562	cons	19764	0.0017875723024336453	11056336
non-cCRE	K562	noncons	1548181	0.003078935710351254	502829921
non-cCRE	HepG2	cons	6403	5.791249469987164e-4	11056336
non-cCRE	HepG2	noncons	368711	7.332717974831892e-4	502829921
non-cCRE	SKNSH	cons	12935	0.0011699174120612832	11056336
non-cCRE	SKNSH	noncons	975124	0.0019392720267336677	502829921
non-cCRE	K562+HepG2	cons	2979	2.6943826598612775e-4	11056336
non-cCRE	K562+HepG2	noncons	215681	4.289342996356814e-4	502829921
non-cCRE	K562+SKNSH	cons	2773	2.5080641543455265e-4	11056336
non-cCRE	K562+SKNSH	noncons	260268	5.176064293914602e-4	502829921
non-cCRE	SKNSH+HepG2	cons	6868	6.211822795544564e-4	11056336
non-cCRE	SKNSH+HepG2	noncons	637591	0.0012680052904011654	502829921
non-cCRE	K562+SKNSH+HepG2	cons	11818	0.0010688893680510434	11056336
non-cCRE	K562+SKNSH+HepG2	noncons	1084333	0.0021564607727470536	502829921
Other cCREs	K562	cons	6776	6.128612589197724e-4	11056336
Other cCREs	K562	noncons	259232	5.155460905835792e-4	502829921
Other cCREs	HepG2	cons	1747	1.580089461825328e-4	11056336
Other cCREs	HepG2	noncons	63798	1.268778911826132e-4	502829921
Other cCREs	SKNSH	cons	3240	2.9304463974322054e-4	11056336
Other cCREs	SKNSH	noncons	145311	2.889863827335764e-4	502829921
Other cCREs	K562+HepG2	cons	2081	1.8821786892149443e-4	11056336
Other cCREs	K562+HepG2	noncons	45797	9.10785100236706e-5	502829921
Other cCREs	K562+SKNSH	cons	860	7.778345375900298e-5	11056336
Other cCREs	K562+SKNSH	noncons	45363	9.021539511766644e-5	502829921
Other cCREs	SKNSH+HepG2	cons	2128	1.924688251153004e-4	11056336
Other cCREs	SKNSH+HepG2	noncons	93291	1.855319186544589e-4	502829921
Other cCREs	K562+SKNSH+HepG2	cons	3927	3.5518095687395895e-4	11056336
Other cCREs	K562+SKNSH+HepG2	noncons	191589	3.810214786323346e-4	502829921
