Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Midbrain Dopaminergic Neuron Differentiation (GO:1904948)	3/12	2.7104001353082084E-4	0.28919969443738586	0	0	30.308641975308642	248.9322747790219	NR4A2;WNT9B;WNT1
Central Nervous System Neuron Differentiation (GO:0021953)	4/41	0.0010605914772968304	0.38644692553720705	0	0	9.866014951121334	67.57163126658139	NR4A2;WNT9B;SPOCK1;WNT1
Mesenchymal Cell Differentiation Involved in Kidney Development (GO:0072161)	2/5	0.0011869458384005118	0.38644692553720705	0	0	60.319298245614036	406.3332192979787	TCF21;WNT4
Regulation of DNA-templated Transcription (GO:0006355)	35/1921	0.0019837967955003703	0.38644692553720705	0	0	1.809444042931152	11.259704703757736	PHF2;MAGEL2;PRR7;CEBPD;FOXI3;TCF21;PRDM11;PPP1R13L;MYB;TASP1;EPC2;WNT1;WNT4;HOXC6;KCNH2;EGR1;PHC1;TAF12;NFATC2;ESRRG;BMP7;HIC1;KLF16;KLF1;NR4A2;TBX15;MYCN;ZEB1;KLF5;TLX2;JMY;TFEC;HCLS1;VGLL2;CC2D1A
Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429)	3/23	0.0019952605922981762	0.38644692553720705	0	0	13.63015873015873	84.7384325974758	FCER1G;SLA2;LAX1
Dopaminergic Neuron Differentiation (GO:0071542)	3/25	0.002549603524219115	0.38644692553720705	0	0	12.38961038961039	73.98849105998742	NR4A2;WNT9B;WNT1
Cell Differentiation Involved in Metanephros Development (GO:0072202)	2/8	0.003251598347591768	0.38644692553720705	0	0	30.15438596491228	172.742674895229	TCF21;WNT4
Sphingosine-1-Phosphate Receptor Signaling Pathway (GO:0003376)	2/8	0.003251598347591768	0.38644692553720705	0	0	30.15438596491228	172.742674895229	SPNS2;PIK3CG
Positive Regulation of RNA Biosynthetic Process (GO:1902680)	13/497	0.003589874038431236	0.38644692553720705	0	0	2.5073872293273003	14.115682837859998	KCNH2;EGR1;TAF12;NFATC2;PRDM11;BMP7;KLF1;MYCN;MYB;TASP1;EPC2;WNT1;WNT4
Regulation of miRNA Transcription (GO:1902893)	4/58	0.0038416564303169207	0.38644692553720705	0	0	6.7533490937746254	37.5611257551961	ZNF512B;EGR1;MYCN;MYB
