Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Lethality At Weaning, Incomplete Penetrance MP:0011084	2/38	0.0031117785762991173	0.1514141521955868	0	0	26.71604938271605	154.2200201127788	HPSE2;SEMA3A
Abnormal Guard Hair Morphology MP:0000397	1/4	0.008714700110904933	0.1514141521955868	0	0	156.26126126126127	741.1071610425906	GSDMA
Absent Molars MP:0003931	1/5	0.010881804457527759	0.1514141521955868	0	0	117.1891891891892	529.7728550558394	WNT10A
Abnormal Hair Cycle Catagen Phase MP:0008859	1/5	0.010881804457527759	0.1514141521955868	0	0	117.1891891891892	529.7728550558394	GSDMA
Coarse Hair MP:0002832	1/5	0.010881804457527759	0.1514141521955868	0	0	117.1891891891892	529.7728550558394	GSDMA
Hypergranulosis MP:0009600	1/5	0.010881804457527759	0.1514141521955868	0	0	117.1891891891892	529.7728550558394	GSDMA
Abnormal Prostaglandin Level MP:0009811	1/5	0.010881804457527759	0.1514141521955868	0	0	117.1891891891892	529.7728550558394	PLA2G10
Retina Hypoplasia MP:0002984	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	SIX6
Short Proestrus MP:0009015	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	SIX6
Double Inlet Heart Left Ventricle MP:0010433	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	TLL1
Abnormal Sphingolipid Level MP:0012230	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	SGMS1
Abnormal Filiform Papillae Morphology MP:0000763	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	WNT10A
Decreased Interleukin-18 Secretion MP:0008685	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	PELI2
Increased Cornea Stroma Thickness MP:0009742	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	GSDMA
Abnormal Gustatory Papilla Taste Bud Morphology MP:0006260	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	WNT10A
Increased Hepatic Glucose Production MP:0020102	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	BAIAP2L1
Thin Hair Shaft MP:0009351	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	GSDMA
Urinary Incontinence MP:0003280	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	HPSE2
Abnormal Intestinal Peristalsis MP:0003289	1/6	0.013044296922030825	0.1514141521955868	0	0	93.74594594594595	406.80155702704064	KIF26A
Abnormal Sertoli Cell Barrier Morphology MP:0020355	1/7	0.015202186755142653	0.1514141521955868	0	0	78.11711711711712	327.0229369493896	SGMS1
Abnormal Molar Root Morphology MP:0030494	1/7	0.015202186755142653	0.1514141521955868	0	0	78.11711711711712	327.0229369493896	WNT10A
Increased Circulating Interleukin-18 Level MP:0008635	1/7	0.015202186755142653	0.1514141521955868	0	0	78.11711711711712	327.0229369493896	C1QTNF4
Ovarian Follicular Cyst MP:0009444	1/7	0.015202186755142653	0.1514141521955868	0	0	78.11711711711712	327.0229369493896	SIX6
Reduced Male Fertility MP:0001922	3/250	0.017110758396771515	0.1514141521955868	0	0	5.934412955465587	24.14147596711697	SIX6;SGMS1;TCFL5
Abnormal Molar Crown Morphology MP:0003932	1/8	0.017355483282811748	0.1514141521955868	0	0	66.95366795366796	271.41991145501026	WNT10A
Increased Macrophage Apoptosis MP:0011080	1/8	0.017355483282811748	0.1514141521955868	0	0	66.95366795366796	271.41991145501026	PELI2
Pituitary Gland Hypoplasia MP:0002659	1/8	0.017355483282811748	0.1514141521955868	0	0	66.95366795366796	271.41991145501026	SIX6
Progressive Hair Loss MP:0009004	1/8	0.017355483282811748	0.1514141521955868	0	0	66.95366795366796	271.41991145501026	GSDMA
Decreased Unsaturated Fatty Acids Level MP:0005285	1/8	0.017355483282811748	0.1514141521955868	0	0	66.95366795366796	271.41991145501026	SGMS1
Abnormal Macrophage Differentiation MP:0008113	1/9	0.01950419587604169	0.1514141521955868	0	0	58.58108108108108	230.64107771571074	C1QTNF4
Abnormal Male Genitalia Morphology MP:0009198	1/9	0.01950419587604169	0.1514141521955868	0	0	58.58108108108108	230.64107771571074	SHISA6
Ectopic Neuron MP:0011723	1/9	0.01950419587604169	0.1514141521955868	0	0	58.58108108108108	230.64107771571074	NTN5
Abnormal Alveolar Process Morphology MP:0004189	1/9	0.01950419587604169	0.1514141521955868	0	0	58.58108108108108	230.64107771571074	WNT10A
Abnormal Atrial Thrombosis MP:0001855	1/9	0.01950419587604169	0.1514141521955868	0	0	58.58108108108108	230.64107771571074	SEMA3A
Eye Opacity MP:0009859	1/9	0.01950419587604169	0.1514141521955868	0	0	58.58108108108108	230.64107771571074	GSDMA
Failure Of Atrioventricular Cushion Closure MP:0000299	1/9	0.01950419587604169	0.1514141521955868	0	0	58.58108108108108	230.64107771571074	TLL1
Decreased Alkaline Phosphatase Activity MP:0011585	1/9	0.01950419587604169	0.1514141521955868	0	0	58.58108108108108	230.64107771571074	GSDMA
Abnormal Dentin Mineralization MP:0030451	1/9	0.01950419587604169	0.1514141521955868	0	0	58.58108108108108	230.64107771571074	WNT10A
Abnormal Enteric Ganglia Morphology MP:0001045	1/10	0.021648333917121856	0.1538464314969499	0	0	52.069069069069066	199.57172248464565	KIF26A
Abnormal QT Variability MP:0004156	1/10	0.021648333917121856	0.1538464314969499	0	0	52.069069069069066	199.57172248464565	PLA2G10
Abnormal Conotruncal Ridge Morphology MP:0010585	1/10	0.021648333917121856	0.1538464314969499	0	0	52.069069069069066	199.57172248464565	TLL1
Small Molars MP:0006402	1/11	0.02378790680538565	0.1538464314969499	0	0	46.85945945945946	175.18774164323773	WNT10A
Dilated Heart Right Atrium MP:0004062	1/12	0.02592292392569664	0.1538464314969499	0	0	42.597051597051596	155.59116668640436	SEMA3A
Abnormal Enteric Nervous System Morphology MP:0001044	1/12	0.02592292392569664	0.1538464314969499	0	0	42.597051597051596	155.59116668640436	SEMA3A
Abnormal Sphingomyelin Level MP:0009823	1/12	0.02592292392569664	0.1538464314969499	0	0	42.597051597051596	155.59116668640436	SGMS1
Abnormal Chiasmata Formation MP:0008966	1/12	0.02592292392569664	0.1538464314969499	0	0	42.597051597051596	155.59116668640436	TCFL5
Abnormal Molar Cusp Morphology MP:0030457	1/13	0.02805339466534132	0.1538464314969499	0	0	39.04504504504504	139.53315469203548	WNT10A
Abnormal Hippocampus CA3 Region Morphology MP:0008267	1/13	0.02805339466534132	0.1538464314969499	0	0	39.04504504504504	139.53315469203548	SS18L1
Increased Microglial Cell Activation MP:0020448	1/13	0.02805339466534132	0.1538464314969499	0	0	39.04504504504504	139.53315469203548	SS18L1
Absent Acrosome MP:0008839	1/13	0.02805339466534132	0.1538464314969499	0	0	39.04504504504504	139.53315469203548	SGMS1
