TF_footprints	mean_skew_pred_bin	count	proportion
TRUE	(-Inf, -1.5)	26664	0.1979348382834364
TRUE	[-1.5, -1.0)	82382	0.2114592851935891
TRUE	[-1.0, -0.5)	349059	0.18556969037428236
TRUE	[-0.5, -0.2)	972650	0.10627834995335947
TRUE	[-0.2, -0.05)	2985176	0.04888705318045902
TRUE	[-0.05, 0.05)	6912073	0.018804404127753815
TRUE	[0.05, 0.2)	2197853	0.03475269149768661
TRUE	[0.2, 0.5)	520811	0.061522038198141664
TRUE	[0.5, 1.0)	129543	0.07903956401726944
TRUE	[1.0, 1.5)	23469	0.08776246657816503
TRUE	[1.5, Inf)	6049	0.08120771130920416
FALSE	(-Inf, -1.5)	108047	0.8020651617165636
FALSE	[-1.5, -1.0)	307206	0.7885407148064109
FALSE	[-1.0, -0.5)	1531954	0.8144303096257176
FALSE	[-0.5, -0.2)	8179261	0.8937216500466405
FALSE	[-0.2, -0.05)	58077535	0.951112946819541
FALSE	[-0.05, 0.05)	360665275	0.9811955958722461
FALSE	[0.05, 0.2)	61044817	0.9652473085023134
FALSE	[0.2, 0.5)	7944627	0.9384779618018584
FALSE	[0.5, 1.0)	1509421	0.9209604359827306
FALSE	[1.0, 1.5)	243946	0.912237533421835
FALSE	[1.5, Inf)	68439	0.9187922886907959
