phyloP	base	count	count_prop	ENCODE_cCREs
cons	11056336	343423	0.031061194232881496	Genome-wide
noncons	502829921	8953735	0.01780668696523332	Genome-wide
cons	273419	48588	0.17770528017438436	PLS
noncons	1569996	114100	0.07267534439578191	PLS
cons	646903	50374	0.07786947965923793	pELS
noncons	10196308	400312	0.03926048526584328	pELS
cons	3684209	160162	0.04347256086720379	dELS
noncons	69919240	2505053	0.03582780648073406	dELS
cons	5611880	63540	0.011322408889712537	non-cCRE
noncons	392563240	5089889	0.012965781003845392	non-cCRE
cons	839925	20759	0.024715301961484658	Other cCREs
noncons	28581137	844381	0.029543296335621642	Other cCREs
