Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Decreased B-1 B Cell Number MP:0004978	6/40	4.710829074479977E-6	0.007221700971177805	0	0	16.280834914611006	199.6949680850388	CD79B;DIAPH1;ZEB1;MYB;SPNS2;ARHGEF1
Abnormal Ureteric Bud Tip Morphology MP:0011760	3/5	1.3044503649622207E-5	0.009998612047435422	0	0	136.44444444444446	1534.6102722582832	GREB1L;TCF21;SPRY1
Abnormal Ureteric Bud Morphology MP:0006032	4/16	2.364495087228276E-5	0.01208256989573649	0	0	30.4645390070922	324.5192659711096	GREB1L;WNT9B;TCF21;SPRY1
Decreased Thymocyte Number MP:0000715	7/97	9.975069560989901E-5	0.03822945409249379	0	0	7.190870870870871	66.24831783222179	ZEB1;MYB;SPNS2;CCR9;WNT1;PIK3CG;WNT4
Respiratory Distress MP:0001954	9/176	1.506946613423558E-4	0.04620298316756629	0	0	5.014331991754196	44.12739957380729	MN1;EFEMP2;MYCN;ZEB1;ADGRF5;TCF21;LAMC2;DSG3;CC2D1A
Abnormal Vascular Smooth Muscle Physiology MP:0005595	4/31	3.591219422309845E-4	0.08301582189151091	0	0	13.527974783293931	107.30184723963644	KCNK6;EFEMP2;KLF5;ZEB1
Abnormal Humoral Immune Response MP:0001800	6/86	3.7906767986991283E-4	0.08301582189151091	0	0	6.900806451612903	54.3631440395157	DIAPH1;SPNS2;HCLS1;ARHGEF1;LTB;PRDM11
Decreased IgG Level MP:0001805	6/94	6.10416746923391E-4	0.10275518155163867	0	0	6.270527859237537	46.410488268583705	CD79B;FCER1G;ZEB1;SPNS2;ARHGEF1;LTB
Increased Bone Marrow Cell Number MP:0000321	4/37	7.158643233252201E-4	0.10275518155163867	0	0	11.06447453255964	80.12914476468195	CNN2;EGR1;DIAPH1;MYB
Absent Wolffian Ducts MP:0009073	2/4	7.173831807071067E-4	0.10275518155163867	0	0	90.48421052631579	655.0966754153768	GREB1L;WNT9B
Increased Circulating Corticosterone Level MP:0001745	4/38	7.932363527275875E-4	0.10275518155163867	0	0	10.738423028785983	76.66578281314769	ZEB1;NPY5R;SST;ATP1A1
Delayed Kidney Development MP:0000528	3/17	8.043458438484435E-4	0.10275518155163867	0	0	19.478458049886623	138.79338716994542	WNT9B;TCF21;WNT4
Abnormal Nervous System Development MP:0003861	4/42	0.0011622142267432498	0.12316151540358511	0	0	9.605823068309071	64.91066042738407	ARHGAP11A;NR4A2;NRN1;FOXI3
Abnormal B Cell Physiology MP:0002459	5/74	0.001355721002574732	0.12316151540358511	0	0	6.636053630938542	43.82066161695663	CD79B;SPNS2;FGL2;HCLS1;NFATC2
Abnormal Spleen Germinal Center Morphology MP:0002359	3/21	0.0015229173756483596	0.12316151540358511	0	0	15.146384479717813	98.25652664162864	DIAPH1;NFATC2;LTB
Decreased Leukocyte Cell Number MP:0000221	8/198	0.0016317566705991648	0.12316151540358511	0	0	3.891075514874142	24.973304495251753	ZDBF2;MAG;ZEB1;SPNS2;ADGRF5;MPL;MYPN;KLF16
Decreased Circulating Testosterone Level MP:0002780	4/46	0.0016372777736675045	0.12316151540358511	0	0	8.688956433637285	55.73722531104953	NPEPPS;EGR1;MAGEL2;LIN28A
