Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signaling by GPCR	18/634	2.398921139598614E-4	0.07730875667286463	0	0	2.7840349305866545	23.205825547885407	PTGIR;NPY5R;PDE4C;WNT9B;GPR20;ADRA1D;PIK3CG;SST;AKT2;CCR9;ARHGEF1;DRD1;RGS8;WNT1;PRKACB;RGS6;CCR10;WNT4
Nephron Development	3/13	3.494925232255805E-4	0.07730875667286463	0	0	27.276190476190475	217.09197435176253	HNF4A;WNT9B;WNT4
Signal Transduction	42/2273	4.841884551536407E-4	0.07730875667286463	0	0	1.8779202151501568	14.334233277561768	DOCK6;ARHGAP11A;ZNF512B;SHC2;CTNND1;GPR20;LAMC2;ADRA1D;RFNG;PIK3CG;AKT2;TRA2B;MYB;CCR9;NRTN;DRD1;RGS8;WNT1;PRKACB;RGS6;CCR10;SCAI;WNT4;EGR1;PTGIR;PHC1;NPY5R;MCAM;PDE4C;WNT9B;KLF16;MAPK13;DIAPH1;MAG;MYCN;CENPH;ESRP2;SST;ARHGEF1;COL6A6;SPRY1;RGL2
GPCR Downstream Signalling	15/566	0.0015818355079515159	0.1578094654084838	0	0	2.5597526838721585	16.50827866073046	PTGIR;NPY5R;PDE4C;GPR20;ADRA1D;PIK3CG;SST;AKT2;CCR9;ARHGEF1;DRD1;RGS8;PRKACB;RGS6;CCR10
WNT Ligand Biogenesis and Trafficking	3/23	0.0019952605922981762	0.1578094654084838	0	0	13.63015873015873	84.7384325974758	WNT9B;WNT1;WNT4
Nef Mediated Downregulation of MHC Class I Complex Cell Surface Expression	2/7	0.0024565157104429274	0.1578094654084838	0	0	36.18736842105263	217.45030615445773	AP1S1;AP1M2
HDL Assembly	2/7	0.0024565157104429274	0.1578094654084838	0	0	36.18736842105263	217.45030615445773	ZDHHC8;PRKACB
VEGFA-VEGFR2 Pathway	5/86	0.002635648691582193	0.1578094654084838	0	0	5.648973394071433	33.54713995795375	SHC2;AKT2;CTNND1;PRKACB;MAPK13
Signaling by VEGF	5/93	0.003697444476014645	0.19678621155677944	0	0	5.197496353913467	29.106568874680754	SHC2;AKT2;CTNND1;PRKACB;MAPK13
Signaling by Receptor Tyrosine Kinases	12/471	0.006221901245800662	0.29802906967385173	0	0	2.430646332607117	12.346904961014253	EGR1;DIAPH1;SHC2;MYCN;ESRP2;AKT2;CTNND1;LAMC2;COL6A6;SPRY1;PRKACB;MAPK13
