Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Autonomic Nervous System Development (GO:0048483)	2/15	4.7972696954864073E-4	0.1288886951647646	0	0	74.08119658119658	566.1502418700055	KIF26A;SEMA3A
Positive Regulation of Response to Biotic Stimulus (GO:0002833)	2/40	0.003443134244994833	0.1288886951647646	0	0	25.30701754385965	143.52553865795073	CPT1A;EMILIN2
Facial Nerve Morphogenesis (GO:0021610)	1/3	0.006542974793921344	0.1288886951647646	0	0	234.40540540540542	1178.909956271273	SEMA3A
Facial Nerve Structural Organization (GO:0021612)	1/3	0.006542974793921344	0.1288886951647646	0	0	234.40540540540542	1178.909956271273	SEMA3A
Trigeminal Nerve Morphogenesis (GO:0021636)	1/3	0.006542974793921344	0.1288886951647646	0	0	234.40540540540542	1178.909956271273	SEMA3A
Trigeminal Nerve Structural Organization (GO:0021637)	1/3	0.006542974793921344	0.1288886951647646	0	0	234.40540540540542	1178.909956271273	SEMA3A
Dendrite Arborization (GO:0140059)	1/3	0.006542974793921344	0.1288886951647646	0	0	234.40540540540542	1178.909956271273	SEMA3A
Branchiomotor Neuron Axon Guidance (GO:0021785)	1/3	0.006542974793921344	0.1288886951647646	0	0	234.40540540540542	1178.909956271273	SEMA3A
Sympathetic Neuron Projection Extension (GO:0097490)	1/4	0.008714700110904933	0.1288886951647646	0	0	156.26126126126127	741.1071610425906	SEMA3A
Regulation of Axon Extension Involved in Axon Guidance (GO:0048841)	1/4	0.008714700110904933	0.1288886951647646	0	0	156.26126126126127	741.1071610425906	SEMA3A
Sensory Organ Development (GO:0007423)	2/69	0.009951969677278658	0.1288886951647646	0	0	14.329187396351575	66.05733594862407	SIX6;WNT10A
Regulation of Renal Sodium Excretion (GO:0035813)	1/5	0.010881804457527759	0.1288886951647646	0	0	117.1891891891892	529.7728550558394	NPPB
Maintenance of DNA Repeat Elements (GO:0043570)	1/5	0.010881804457527759	0.1288886951647646	0	0	117.1891891891892	529.7728550558394	RMI2
Tongue Development (GO:0043586)	1/5	0.010881804457527759	0.1288886951647646	0	0	117.1891891891892	529.7728550558394	WNT10A
Resolution of DNA Recombination Intermediates (GO:0071139)	1/5	0.010881804457527759	0.1288886951647646	0	0	117.1891891891892	529.7728550558394	RMI2
Neuron Projection Extension Involved in Neuron Projection Guidance (GO:1902284)	1/5	0.010881804457527759	0.1288886951647646	0	0	117.1891891891892	529.7728550558394	SEMA3A
Positive Regulation of Urine Volume (GO:0035810)	1/5	0.010881804457527759	0.1288886951647646	0	0	117.1891891891892	529.7728550558394	NPPB
Axon Extension Involved in Axon Guidance (GO:0048846)	1/5	0.010881804457527759	0.1288886951647646	0	0	117.1891891891892	529.7728550558394	SEMA3A
Sphingomyelin Biosynthetic Process (GO:0006686)	1/5	0.010881804457527759	0.1288886951647646	0	0	117.1891891891892	529.7728550558394	SGMS1
Long-Chain Fatty Acid Metabolic Process (GO:0001676)	2/73	0.011087366341749965	0.1288886951647646	0	0	13.518779342723004	60.8608549576902	CPT1A;PLA2G10
Enteric Nervous System Development (GO:0048484)	1/6	0.013044296922030825	0.1288886951647646	0	0	93.74594594594595	406.80155702704064	KIF26A
Positive Regulation of Icosanoid Secretion (GO:0032305)	1/6	0.013044296922030825	0.1288886951647646	0	0	93.74594594594595	406.80155702704064	PLA2G10
Excitatory Chemical Synaptic Transmission (GO:0098976)	1/6	0.013044296922030825	0.1288886951647646	0	0	93.74594594594595	406.80155702704064	SHISA6
Amino-Acid Betaine Metabolic Process (GO:0006577)	1/6	0.013044296922030825	0.1288886951647646	0	0	93.74594594594595	406.80155702704064	CPT1A
Epigenetic Programming in the Zygotic Pronuclei (GO:0044725)	1/7	0.015202186755142653	0.1288886951647646	0	0	78.11711711711712	327.0229369493896	TET3
Regulation of Defense Response to Bacterium (GO:1900424)	1/7	0.015202186755142653	0.1288886951647646	0	0	78.11711711711712	327.0229369493896	EMILIN2
Phosphatidylcholine Catabolic Process (GO:0034638)	1/7	0.015202186755142653	0.1288886951647646	0	0	78.11711711711712	327.0229369493896	PLA2G10
Platelet Activating Factor Metabolic Process (GO:0046469)	1/7	0.015202186755142653	0.1288886951647646	0	0	78.11711711711712	327.0229369493896	PLA2G10
Sympathetic Ganglion Development (GO:0061549)	1/7	0.015202186755142653	0.1288886951647646	0	0	78.11711711711712	327.0229369493896	SEMA3A
Regulation of Urine Volume (GO:0035809)	1/8	0.017355483282811748	0.1288886951647646	0	0	66.95366795366796	271.41991145501026	NPPB
Receptor Guanylyl Cyclase Signaling Pathway (GO:0007168)	1/8	0.017355483282811748	0.1288886951647646	0	0	66.95366795366796	271.41991145501026	NPPB
cGMP Biosynthetic Process (GO:0006182)	1/8	0.017355483282811748	0.1288886951647646	0	0	66.95366795366796	271.41991145501026	NPPB
Negative Regulation of Cholesterol Transport (GO:0032375)	1/9	0.01950419587604169	0.1288886951647646	0	0	58.58108108108108	230.64107771571074	PLA2G10
Positive Regulation of Gene Expression via Chromosomal CpG Island Demethylation (GO:0044029)	1/9	0.01950419587604169	0.1288886951647646	0	0	58.58108108108108	230.64107771571074	TET3
