Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RHOF GTPase Cycle	3/36	6.543391397053669E-5	0.013675688019842168	0	0	44.97402597402598	433.3008982543419	FARP1;BAIAP2L1;FAM169A
Toxicity of Botulinum Toxin Type A (botA)	1/3	0.006542974793921344	0.21118814477311218	0	0	234.40540540540542	1178.909956271273	SV2C
Bacterial Infection Pathways	2/64	0.008610846774983371	0.21118814477311218	0	0	15.489247311827956	73.64722941452062	SV2C;STAM2
Toxicity of Botulinum Toxin Type D (botD)	1/4	0.008714700110904933	0.21118814477311218	0	0	156.26126126126127	741.1071610425906	SV2C
Toxicity of Botulinum Toxin Type F (botF)	1/4	0.008714700110904933	0.21118814477311218	0	0	156.26126126126127	741.1071610425906	SV2C
RHO GTPase Cycle	4/390	0.010083730473997448	0.21118814477311218	0	0	5.169765315452606	23.764542624729803	FARP1;BAIAP2L1;FAM169A;STAM2
Class B 2 (Secretin Family Receptors)	2/90	0.01650872140083118	0.21118814477311218	0	0	10.896464646464647	44.71763588206909	WNT10A;GNG4
Neurotoxicity of Clostridium Toxins	1/9	0.01950419587604169	0.21118814477311218	0	0	58.58108108108108	230.64107771571074	SV2C
SEMA3A-Plexin Repulsion Signaling by Inhibiting Integrin Adhesion	1/11	0.02378790680538565	0.21118814477311218	0	0	46.85945945945946	175.18774164323773	SEMA3A
Sema3A PAK Dependent Axon Repulsion	1/11	0.02378790680538565	0.21118814477311218	0	0	46.85945945945946	175.18774164323773	SEMA3A
IRAK1 Recruits IKK Complex	1/11	0.02378790680538565	0.21118814477311218	0	0	46.85945945945946	175.18774164323773	PELI2
IRAK1 Recruits IKK Complex Upon TLR7 8 or 9 Stimulation	1/11	0.02378790680538565	0.21118814477311218	0	0	46.85945945945946	175.18774164323773	PELI2
Anchoring Fibril Formation	1/12	0.02592292392569664	0.21118814477311218	0	0	42.597051597051596	155.59116668640436	TLL1
Lysosphingolipid and LPA Receptors	1/12	0.02592292392569664	0.21118814477311218	0	0	42.597051597051596	155.59116668640436	PLPPR3
CRMPs in Sema3A Signaling	1/13	0.02805339466534132	0.21118814477311218	0	0	39.04504504504504	139.53315469203548	SEMA3A
Carnitine Shuttle	1/13	0.02805339466534132	0.21118814477311218	0	0	39.04504504504504	139.53315469203548	CPT1A
InlB-mediated Entry of Listeria Monocytogenes Into Host Cell	1/13	0.02805339466534132	0.21118814477311218	0	0	39.04504504504504	139.53315469203548	STAM2
Crosslinking of Collagen Fibrils	1/15	0.03230073450410484	0.21118814477311218	0	0	33.463320463320464	114.86837927661347	TLL1
Acyl Chain Remodelling of PI	1/16	0.034417622309826146	0.21118814477311218	0	0	31.230630630630632	105.22182127221244	PLA2G10
G Beta Gamma Signalling Through BTK	1/16	0.034417622309826146	0.21118814477311218	0	0	31.230630630630632	105.22182127221244	GNG4
RORA Activates Gene Expression	1/17	0.03653000116850972	0.21118814477311218	0	0	29.277027027027028	96.89587535817198	CPT1A
Listeria Monocytogenes Entry Into Host Cells	1/17	0.03653000116850972	0.21118814477311218	0	0	29.277027027027028	96.89587535817198	STAM2
Acyl Chain Remodelling of PG	1/18	0.03863788040054835	0.21118814477311218	0	0	27.553259141494436	89.64513826579348	PLA2G10
