ENCODE_cCREs	emVar_category	phyloP	count	ENCODE_cCREs_phyloP	count_prop	base
PLS	K562	cons	12905	PLS_cons	0.047198621895332804	273419
PLS	K562	noncons	35899	PLS_noncons	0.02286566335200854	1569996
PLS	HepG2	cons	1673	PLS_cons	0.006118813981471661	273419
PLS	HepG2	noncons	3637	PLS_noncons	0.00231656641163417	1569996
PLS	SKNSH	cons	6574	PLS_cons	0.024043683869811535	273419
PLS	SKNSH	noncons	19897	PLS_noncons	0.012673280696256551	1569996
PLS	K562+HepG2	cons	3160	PLS_cons	0.011557353366079168	273419
PLS	K562+HepG2	noncons	5629.000000000001	PLS_noncons	0.003585359453145104	1569996
PLS	K562+SKNSH	cons	4739	PLS_cons	0.01733237265881303	273419
PLS	K562+SKNSH	noncons	10510.999999999998	PLS_noncons	0.006694921515723606	1569996
PLS	SKNSH+HepG2	cons	3572	PLS_cons	0.013064198172036325	273419
PLS	SKNSH+HepG2	noncons	7783.000000000001	PLS_noncons	0.004957337470923494	1569996
PLS	K562+SKNSH+HepG2	cons	15965	PLS_cons	0.058390236230839845	273419
PLS	K562+SKNSH+HepG2	noncons	30744	PLS_noncons	0.019582215496090436	1569996
pELS	K562	cons	15417.999999999998	pELS_cons	0.023833557735858386	646903
pELS	K562	noncons	129683	pELS_noncons	0.012718623250690349	10196308
pELS	HepG2	cons	2964	pELS_cons	0.004581830660856419	646903
pELS	HepG2	noncons	25236	pELS_noncons	0.00247501350488824	10196308
pELS	SKNSH	cons	6946	pELS_cons	0.010737313012924658	646903
pELS	SKNSH	noncons	61649	pELS_noncons	0.006046208098068438	10196308
pELS	K562+HepG2	cons	3284.9999999999995	pELS_cons	0.005078041066434998	646903
pELS	K562+HepG2	noncons	21043	pELS_noncons	0.002063786225367064	10196308
pELS	K562+SKNSH	cons	3350.0000000000005	pELS_cons	0.00517851980899764	646903
pELS	K562+SKNSH	noncons	23290	pELS_noncons	0.002284160109718145	10196308
pELS	SKNSH+HepG2	cons	4647	pELS_cons	0.007183457179824487	646903
pELS	SKNSH+HepG2	noncons	40056	pELS_noncons	0.003928480779513526	10196308
pELS	K562+SKNSH+HepG2	cons	13764	pELS_cons	0.021276760194341347	646903
pELS	K562+SKNSH+HepG2	noncons	99355	pELS_noncons	0.009744213297597523	10196308
dELS	K562	cons	47356	dELS_cons	0.012853776753707512	3684209
dELS	K562	noncons	758622	dELS_noncons	0.010849974913914968	69919240
dELS	HepG2	cons	15921	dELS_cons	0.004321416076015231	3684209
dELS	HepG2	noncons	202479	dELS_noncons	0.0028958981819596436	69919240
dELS	SKNSH	cons	26803	dELS_cons	0.007275103013971248	3684209
dELS	SKNSH	noncons	427416	dELS_noncons	0.006112995507388239	69919240
dELS	K562+HepG2	cons	10870	dELS_cons	0.002950429793749486	3684209
dELS	K562+HepG2	noncons	129605	dELS_noncons	0.00185363856929795	69919240
dELS	K562+SKNSH	cons	7758	dELS_cons	0.0021057437295224023	3684209
dELS	K562+SKNSH	noncons	135670	dELS_noncons	0.001940381503002607	69919240
dELS	SKNSH+HepG2	cons	17604	dELS_cons	0.004778230550981228	3684209
dELS	SKNSH+HepG2	noncons	278803	dELS_noncons	0.003987500436217556	69919240
dELS	K562+SKNSH+HepG2	cons	33850	dELS_cons	0.00918786094925668	3684209
dELS	K562+SKNSH+HepG2	noncons	572458	dELS_noncons	0.008187417368953094	69919240
non-cCRE	K562	cons	19764	non-cCRE_cons	0.0035218144365168178	5611880
non-cCRE	K562	noncons	1548181	non-cCRE_noncons	0.003943774766073359	392563240
non-cCRE	HepG2	cons	6403	non-cCRE_cons	0.0011409723657669088	5611880
non-cCRE	HepG2	noncons	368711	non-cCRE_noncons	9.392397515365932e-4	392563240
non-cCRE	SKNSH	cons	12935	non-cCRE_cons	0.0023049316806489093	5611880
non-cCRE	SKNSH	noncons	975124	non-cCRE_noncons	0.0024839921333439166	392563240
non-cCRE	K562+HepG2	cons	2979	non-cCRE_cons	5.308381504950212e-4	5611880
non-cCRE	K562+HepG2	noncons	215681	non-cCRE_noncons	5.494172098233141e-4	392563240
non-cCRE	K562+SKNSH	cons	2773	non-cCRE_cons	4.94130309272472e-4	5611880
non-cCRE	K562+SKNSH	noncons	260268	non-cCRE_noncons	6.62996362063855e-4	392563240
non-cCRE	SKNSH+HepG2	cons	6868	non-cCRE_cons	0.001223832298623634	5611880
non-cCRE	SKNSH+HepG2	noncons	637591	non-cCRE_noncons	0.0016241739802229063	392563240
non-cCRE	K562+SKNSH+HepG2	cons	11818	non-cCRE_cons	0.002105889648388775	5611880
non-cCRE	K562+SKNSH+HepG2	noncons	1084333	non-cCRE_noncons	0.0027621868007814488	392563240
Other cCREs	K562	cons	6776	NA	0.00806738696907462	839925
Other cCREs	K562	noncons	259232	NA	0.009070038046422016	28581137
Other cCREs	HepG2	cons	1747	NA	0.0020799476143703306	839925
Other cCREs	HepG2	noncons	63798	NA	0.002232171519278607	28581137
Other cCREs	SKNSH	cons	3240	NA	0.0038574872756496114	839925
Other cCREs	SKNSH	noncons	145311	NA	0.005084157428726506	28581137
Other cCREs	K562+HepG2	cons	2081	NA	0.002477602166860136	839925
Other cCREs	K562+HepG2	noncons	45797	NA	0.001602350529301896	28581137
Other cCREs	K562+SKNSH	cons	860	NA	0.0010239009435366252	839925
